Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
57,Alpine Men,512527,MIGGIANO,Alessio,SUI,105,1280,,95,95,,14,0,10,48,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
57,Alpine Men,6203445,ALLIOD-JACQUES,Benjamin,ITA,105,1280,,82,82,,18,-,0,23,37,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
59,Alpine Men,92720,POPOV,Albert,BUL,103,1282,0,103,103,,20,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
60,Alpine Men,511996,YULE,Daniel,SUI,102,1283,0,102,102,,21,,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
61,Alpine Men,202762,JOCHER,Simon,GER,1001285,,38,29,(29),,:,62,22,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
62,Alpine Men,104531,CRAWFORD,James,CAN,97,1288,,25,25,,38,0,72,21,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
63,Alpine Men,194935,FAVROT,Thibaut,FRA,95,1290,0,0,,,95,21,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
64,Alpine Men,221236,TAYLOR,Lau,GBR,94,1291,0,94,94,,23,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
65,Alpine Men,54359,FEURSTEIN,Patrick,AUT,90,1295,0,0,,,90,22,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
65,Alpine Men,511896,MURISIER,Justin,SUI,90,1295,63,20,(20),,-,0,27,35,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
67,Alpine Men,220689,RYDING,Dave,GBR,89,1296,0,89,89,,24,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
67,Alpine Men,561310,HROBAT,Miha,SLO,89,1296,58,22,(22),,:,31,31,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
67,Alpine Men,180877,LEHTO,Elian,FIN,89,1296,83,16,(16),,-,0,6,50,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
70,Alpine Men,512228,KOHLER,Marco,SUI,88,1207,51,25,(25),,:,37,29,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
71,Alpine Men,6200845,BOSCA,Guglielmo,ITA,85,1300,11,50,(50),,-,0,74,20,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
71,Alpine Men,6532128,NEGOMIR,Kyle,USA,85,1300,39,28,(28),,-,0,46,26,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
73,Alpine Men,360377,KOLEGA,Samuel,CRO,81,1304,0,81,81,,25,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
74,Alpine Men,502617,SWARTZ,FABIAN,SWE,79,,1306,0,,,47,33,32,33,:,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
75,Alpine Men,54609,EICHBERGER,Stefan,AUT,76,1309,36,30,(30),,:,40,28,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
76,Alpine Men,6190176,BAILET,Matthieu,FRA,1,131416,45,0,,,55,24,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
76,Alpine Men,20283,GRAMMEL,Anton,GER,mM,1314,0,0,,,71,23,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
78,Alpine Men,512853,ITEN,Matthias,SUI,70,1315,0,70,70,,26,-,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
79,Alpine Men,422873,GRAHL-MADSEN,Hans,NOR,62,1323,0,62,62,,28,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
80,Alpine Men,20398,VERDU,Joan,AND,60,1325,0,0,,,60,24,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
81,Alpine Men,202597,SCHMID,Alexander,GER,59,1326,0,0,,,59,25,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
82,Alpine Men,54252,RASCHNER,Dominik,AUT,58,1327,0,58,58,,30,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
83,Alpine Men,203096,VOGT,Luis,GER,57,1328,57,23,(23),,-,0,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
84,Alpine Men,54093,STROLZ,Johannes,AUT,55,1330,0,55,55,,31,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
85,Alpine Men,990048,BORSOTTI,Giovanni,ITA,49,1336,0,-,-,,49,28,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
87,Alpine Men,512281,ROESTI,Lars,SUI,46,133946,27,-,—-,,:,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
88,Alpine Men,54438,PLOIER,Andreas,AUT,45,1340,31,33,(33),,:,14,43,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
89,Alpine Men,221228,MAJOR,Billy,GBR,44,1341,0,44,44,,34,-,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
90,Alpine Men,6191539,VITALE,Flavio,FRA,43,1342,0,0,,,43,29,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
91,Alpine Men,202909,STOCKINGER,Jonas,GER,42,1343,0,0,,,42,30,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
0,Alpine Men,92194298,GIEZENDANNER,Blaise,FRA,1346,28,36,-,-,,:,11,45,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
93,Alpine Men,6531620,MORSE,Sam,USA,3713487,52,0,30,30,,33,,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
93,Alpine Men,6530104,BENNETT,Bryce,USA,37°,134832,32,0,,,5,52,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
95,Alpine Men,6532592,RITCHIE,Benjamin,USA,36,1349,0,36,36,,36,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
95,Alpine Men,6190793,PARAND,Loevan,FRA,36,1349,0,0,,,36,32,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Men,192746,THEAUX,Adrien,FRA,35,1350,35,31,(31),,-,0,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Men,422130,KILDE,Aleksand,NOR,35,135024,39,0,,,11,45,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Men,51215,BAUMANN,Romed,GER,35,135021,42,0,,,14,43,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
100,Alpine Men,6190459,ALPHAND,Sam,FRA,34135110,51,0,24,24,,36,,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
101,Alpine Men,511902,ZENHAEUSERN,Ramon,SUI,33,1352,0,33,33,,37,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
102,Alpine Men,6533248,SARCHETT,Ryder,USA,32,1353,0,0,,,32,33,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
102,Alpine Men,6203252,KASTLUNGER,Tobias,ITA,32,1353,0,26,26,,38,6,45,:,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
102,Alpine Men,990116,de,ALIPRANDINI,LUCA,ITA,32,1353,0,,,:,32,33,:,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
105,Alpine Men,501987,MONSEN,Felix,SWE,31,135431,33,0,,,:,,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
106,Alpine Men,104539,SEGER,Riley,CAN,29,1356,0,0,,,:,29,34,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
107,Alpine Men,6203775,DELLA,VITE,FILIPPO,ITA,26,1359,0,,,:,26,36,:,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
108,Alpine Men,6191203,AULNETTE,Auguste,FRA,24,1361,0,24,24,,39,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
109,Alpine Men,512549,HILTBRAND,Livio,SUI,23°,1362,23,40,(40),,-,0,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
109,Alpine Men,54538,RIESER,Stefan,AUT,23°,1362,23,40,(40),,-,0,0,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
109,Alpine Men,104468,READ,Jeffrey,CAN,23,136224,55,0,,,19,42,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
112,Alpine Men,6190909,DESGRIPPES,Hugo,FRA,22,1363,0,22,22,,40,0,,,,ALPM------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
57,Alpine Men,54609,EICHBERGER,Stefan,AUT,187,193075,29,0,,,82,25,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
58,Alpine Men,511996,YULE,Daniel,SUI,154,1933,0,154,154,,19,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
60,Alpine Men,92720,POPOV,Albert,BUL,141,1946,0,141,141,,20,0,,,,ALPM------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
