year,city,country,season,status
1896,Athens,Greece,summer,complete
1900,Paris,France,summer,complete
1904,St. Louis,United States,summer,complete
1908,London,United Kingdom,summer,complete
1912,Stockholm,Sweden,summer,complete
1916,†,Germany,summer,cancelled
1920,Antwerp,Belgium,summer,complete
1924,Paris,France,summer,complete
1924,Chamonix,France,winter,complete
1928,Amsterdam,Netherlands,summer,complete
1928,St. Moritz,Switzerland,winter,complete
1932,Los Angeles,United States,summer,complete
1932,Lake Placid,United States,winter,complete
1936,Berlin,Germany,summer,complete
1936,Garmisch-Partenkirchen,Germany,winter,complete
1940,†,Japan  Finland,summer,cancelled
1940,†,Japan  Germany,winter,cancelled
1944,†,United Kingdom,summer,cancelled
1944,†,Italy,winter,cancelled
1948,London,United Kingdom,summer,complete
1948,St. Moritz,Switzerland,winter,complete
1952,Helsinki,Finland,summer,complete
1952,Oslo,Norway,winter,complete
1956,Melbourne Stockholm,Australia  Sweden,summer,complete
1956,Cortina d'Ampezzo,Italy,winter,complete
1960,Rome,Italy,summer,complete
1960,Squaw Valley,United States,winter,complete
1964,Tokyo,Japan,summer,complete
1964,Innsbruck,Austria,winter,complete
1968,Mexico City,Mexico,summer,complete
1968,Grenoble,France,winter,complete
1972,Munich,West Germany,summer,complete
1972,Sapporo,Japan,winter,complete
1976,Montreal,Canada,summer,complete
1976,Innsbruck,Austria,winter,complete
1980,Moscow,Soviet Union,summer,complete
1980,Lake Placid,United States,winter,complete
1984,Los Angeles,United States,summer,complete
1984,Sarajevo,Yugoslavia,winter,complete
1988,Seoul,South Korea,summer,complete
1988,Calgary,Canada,winter,complete
1992,Barcelona,Spain,summer,complete
1992,Albertville,France,winter,complete
1994,Lillehammer,Norway,winter,complete
1996,Atlanta,United States,summer,complete
1998,Nagano,Japan,winter,complete
2000,Sydney,Australia,summer,complete
2002,Salt Lake City,United States,winter,complete
2004,Athens,Greece,summer,complete
2006,Turin,Italy,winter,complete
2008,Beijing,China,summer,complete
2010,Vancouver,Canada,winter,complete
2012,London,United Kingdom,summer,complete
2014,Sochi,Russia,winter,complete
2016,Rio de Janeiro,Brazil,summer,complete
2018,Pyeongchang,South Korea,winter,complete
2020,§,Japan,summer,postponed
2022,Beijing,China,winter,complete
2024,Paris,France,summer,complete
2026,Milan Cortina d'Ampezzo,Italy,winter,complete
2028,Los Angeles,United States,summer,future
2030,French Alps,France,winter,future
2032,Brisbane,Australia,summer,future
2034,Salt Lake City,United States,winter,future
